i,CCONJ,21469
że,SCONJ,9720
a,CCONJ,4895
ale,CCONJ,4618
jeśli,SCONJ,2123
by,SCONJ,2083
oraz,CCONJ,1651
więc,SCONJ,1622
żeby,SCONJ,1428
aby,SCONJ,1413
lub,CCONJ,1409
bo,SCONJ,1313
niż,SCONJ,786
jako,SCONJ,737
albo,CCONJ,507
gdyby,SCONJ,435
jeżeli,SCONJ,417
ani,CCONJ,352
czyli,CCONJ,350
ponieważ,SCONJ,303
zanim,SCONJ,281
zatem,SCONJ,264
choć,SCONJ,230
skoro,SCONJ,177
chociaż,SCONJ,176
lecz,CCONJ,176
natomiast,CCONJ,159
dopóki,SCONJ,120
bowiem,SCONJ,114
iż,SCONJ,101
bądź,CCONJ,96
im,SCONJ,81
zaś,CCONJ,81
póki,SCONJ,77
gdyż,SCONJ,77
tymczasem,CCONJ,62
jednakże,CCONJ,56
niczym,SCONJ,43
choćby,SCONJ,38
nim,SCONJ,29
czyżby,SCONJ,27
ot,CCONJ,18
aczkolwiek,SCONJ,17
aniżeli,SCONJ,6
ażeby,SCONJ,6
toteż,SCONJ,6
tudzież,SCONJ,6
niechaj,SCONJ,4
albowiem,SCONJ,3
acz,CCONJ,3
jakoby,SCONJ,3
przeto,SCONJ,3
jednakowoż,SCONJ,2
byleby,SCONJ,1
coby,SCONJ,1
dopóty,SCONJ,1
żebym,SCONJ,1
iżby,SCONJ,1
jakbym,SCONJ,1
jeśliby,SCONJ,1
niechby,SCONJ,1
niechże,SCONJ,1
