ten,DET,10940
który,DET,5024
swój,DET,3327
mój,DET,3318
nasz,DET,3265
taki,DET,3201
jaki,DET,2662
każdy,DET,2376
wszystek,DET,1912
twój,DET,1790
wiele,DET,1454
kilka,DET,1185
jakiś,DET,1169
więcej,DET,1032
żaden,DET,786
ile,DET,531
dużo,DET,501
pewien,DET,421
oba,DET,406
niektóry,DET,402
wasz,DET,316
tyle,DET,305
wszelki,DET,272
trochę,DET,181
parę,DET,165
sporo,DET,161
mniej,DET,159
jakikolwiek,DET,148
tamten,DET,141
mało,DET,118
niewiele,DET,103
któryś,DET,72
najwięcej,DET,67
kilkanaście,DET,62
wszyscy,DET,51
kilkadziesiąt,DET,39
czyjś,DET,33
czyj,DET,22
mnóstwo,DET,16
kilkaset,DET,15
niejeden,DET,11
którykolwiek,DET,10
tenże,DET,8
któreś,DET,7
pełno,DET,6
troszkę,DET,5
ileż,DET,4
takowy,DET,4
