This is more difficult|To jest trudniejsze
I have already seen how people harm themselves|Już widziałem jak ludzie robią sobie krzywdę
Он ошибается|On się myli
Радослав Сикорский больше не питает иллюзий|Radosław Sikorski nie ma już złudzeń
Каждое утро он целует свое отражение в зеркале|Każdego ranka całuje swoje odbicie w lustrze
Его невозможно оскорбить|Nie da się go urazić
Президент намерен наложить вето на сокращение взносов на медицинское страхование|Prezydent zamierza zawetować obniżkę składki zdrowotnej
Готовит ли ЕС «атаку на сбережения»?|UE szykuje "zamach na oszczędności"?
Огромный рост поддержки|Olbrzymi wzrost poparcia
Я начал учить Польский|Zacząłem uczyć się polskiego
Вокруг солнца|Wokół słońca
Предлог это слово, которое соединяется с другим словом|Przyimek to słowo, które łączy się z innym wyrazem
Как вы думаете, что там?|Co według was tam jest?
По статистике, вероятность, что вы умрете|Według statystyk szansa, że zginiesz
Пока что о тех, кто работает в поле|Do tej pory wobec pracujących na polu
Твой кузен использует против него язык ненависти|Twój kuzyn stosuje wobec niego mowę nienawiści
Были ли среди жертв поляки?|A czy wśród ofiar byli Polacy?
Рядом с кроватью сидела мама|Koło łóżka siedziała mama
Несмотря на огромные человеческие потери|Mimo gigantycznych strat w ludziach
Кроме моей дочери, здесь нет ни одной женщины!|Oprócz mojej córki nie ma tu żadnej kobiety!
Шло к нам шаг за шагом|Szło ku nam krok za krokiem
Как и иностранное насилие, с которым он боролся всю свою жизнь|Jak przemoc obca przeciw której przez życie całe walczył
Его не может победить никакая сила, противостоящая всем силам зла|Nie da się pokonać żadną mocą wbrew wszelkim złym mocom
Против воли отца она ушла в монастырь|Wbrew ojcu poszła do zakonu
Ты можешь сделать такое же приложение|Możesz stworzyć taką samą aplikację
Сломать ноутбук|Zniszczyć laptopa
В любом случае, размер не имеет значения|Zresztą rozmiar się nie liczy
Я приспособлюсь|Ja się dostosuję
Откуда я тебя знаю?|Skąd cię znam?
Я делаю это по своему|Robię to po swojemu
Culture wars do not bother me|Wojny kulturowe mnie nie ruszają
He has won the battle|Wygrał bitwę
Это вызовет большие волны миграции|Spowoduje to duże fale migracji
Россия будет запугивать НАТО|Rosja będzie zastraszać NATO
остроумный|dowcipny
Чтобы доказать, что НАТО больше не существует|Aby udowodnić, że NATO już nie istnieje
Every time you do something|Za każdym razem, gdy coś robisz
From his point of view|Z jego punktu widzenia
What happened to him|Co się z nim stało
I am trying to do something|Próbuję coś zrobić
Поляки устали от напряженности, связанной с войной на Украине|Polacy są zmęczeni napięciem związanym z wojną w Ukrainie
Все меньше людей заявляют о своей готовности вступить в армию|Coraz mniej osób deklaruje chęć wstąpienia do armii,
И все больше заявляют о готовности покинуть страну|A więcej zapowiada opuszczenie kraju
Usually|Obecne
У многих людей фотоэлектричество ассоциируется в основном с микроустановками|Fotowoltaika kojarzy się wielu osobom głównie z mikroinstalacjami
В моем ближайшем окружении самые богатые люди, с которыми я когда-либо имел дело|W moim najbliższym środowisku najbogatsi ludzie, z którymi miałem do czynienia
и столкнулся с реальностью|i zderzyłem się z rzeczywistością
люди становятся жертвами своей судьбы|ludzie padają ofiarami swojego losu
потому что я встретил талантливых учителей|bo trafiłem na zdolnych nauczycieli
Но что заставило меня обратиться?|Ale co mnie nawróciło?
Это довольно сложный вопрос|To dość złożona kwestia
во многих отношениях оплот нормальности|w wielu kwestiach ostoją normalności
подтвердил, что восхищается Путиным|potwierdził, że podziwia Putina
Нам следует быть умными|Powinniśmy być mądrzy
I wonder how he got signatures|Zastanawia mnie jak zdobył podpisy
Они справились с этим великолепно|Pięknie go załatwili
из имеющихся на рынке и типа контракта|spośród dostępnych na rynku i rodzaju umowy
возможность заключения договора|możliwość zawarcia umowy
корректировка договорной мощности в соответствии с фактическим спросом|dostosowanie mocy umownej do faktycznego zapotrzebowania
замена существующих источников света на современные энергосберегающие|wymianę istniejących źródeł światła na nowoczesne źródła energooszczędne
диаграмма|wykres
Всего к оплате|Do zapłaty łącznie
estimated reading|odczyt szacowany
I live with the idea that the one day|Żyję z myślą, że pewnego dnia
How much time does it spend on|Ile czasu spędza na
Я не выдавал себя за полицию|Nie podawałem się za policję
Надо просто перестать|Musisz się po prostu zatrzymać
How will you solve this problem?|Jak rozwiążesz ten problem?
Это нарушает мои права|To narusza moje prawa
Максимальная грузоподъемность|Maksymalna ładowność
Он никуда не исчез|Nie zniknął nigdzie
особенно|zwłaszcza
ситуация на рынке по-прежнему сложная|sytuacja na rynku nadal jest trudna
Это явление становится все более распространенным|Zjawisko to staje się coraz bardziej powszechne
Я придерживаюсь мнения|Jestem zdania
Это не совпадение|Nie jest to przypadek
Это замкнутый круг|Działa błędne koło
Польша уже сегодня воспринимается|Polska już dziś jest postrzegana
Все менее дружелюбный|Coraz mniej przyjazny
Мне кажется, что польские правые больны на голову|Coś mi się wydaje, że Polska prawica jest chora na głowę
Он живет здесь только с января|Mieszka tu dopiero od stycznia
Он выплатил только половину долга|Spłacił dopiero połowę długu
A to dopiero pech|Вот это просто невезение
