Это вмешательство.|To jest interwencja.
Мы уже давно обеспокоены вашим поведением.|Od pewnego czasu jesteśmy zaniepokojeni twoim zachowaniem.
Ты всегда была душой компании.|Zawsze byłeś duszą towarzystwa.
Человек, полный энергии.|Człowiekiem pełnym energii.
Тот, чьи шутки запоминаются.|Takim, którego żart się trzyma.
Однако в последнее время ситуация изменилась.|Jednak ostatnio to się zmieniło.
Трудно не связать этот случай с алкоголем.|Trudno nie łączyć tej sprawy z alkoholem.
Да, алкоголь мне не помог.|No tak, alkohol mi nie służył.
Пора вам просыпаться.|Pora, żebyś się obudził.
С тех пор как вы перестали пить, вы плохо спите и крититесь в постели, что иногда доставляет мне дискомфорт.|Odkąd przestałeś pić, źle sypiasz i kręcisz się w łóżku, co bywa dla mnie źródłem dyskomfortu.
Ну, а до этого, когда я выпивал, я засыпал под забором.|No ale wcześniej, jak piłem, to zasypiałem pod płotem.
Ты помнишь, как они тебя называли?|Pamiętasz, jak na ciebie wołali?
Вы создали свой бренд.|Zbudowałeś swoją markę.
У вас было прозвище.|Miałeś przydomek.
Вы дарили людям радость в те трудные времена.|Dawałeś ludziom trochę radości w tych trudnych czasach.
Например, как вы бегали голым с топором по деревне и кричали, что убъете кого-нибудь.|Na przykład jak biegałeś na golasa z siekierą przez wieś i krzyczałeś, że kogoś zamordujesz.
Это было круто.|To było fajne.
Возможно, я действительно утратил часть своего позитивного сумасшествия.|Może faktycznie straciłem trochę z tego mojego pozytywnego szaleństwa.
О своем собственном сыне мне приходится слышать в церкви, что он льет за воротник.|O własnym synu muszę słuchać pod kościołem, że wylewa za kołnierz.
Я не знал, что вы так на это смотрите.|Ja nie wiedziałem, że tak na to patrzycie.
Ну, для этого у вас есть самые близкие люди.|No, od tego masz najbliższych.
Чтобы помочь вам, когда вы достигнете дна.|Żeby ci pomogli, kiedy sięgniesz dna.
И помни.|I pamiętaj.
Самая дешевая водка только в трактире вашего хозяина.|Najtańsza wódka tylko u twojego pana w karczmie.
