odłożyć wszystko na bok|отложить все дела
сделанный на основе|zrobiony na podstawie
я полагаю|wydaję mi się
zwłaszcza|особенно
ужасный|okropny
постараюсь не забыть|postaram się nie zapomnieć
убеди самого себя|przekonaj się sam
довести до автоматизма|doprowadzić do automatyzmu
огромный шаг назад|ogromny krok wstecz
здесь мы имели дело с|tutaj mieliśmy do czynienia z
такие люди выдают столько тезисов|tacy ludzie rzucają tyloma tezami
ни один эксперт не в состоянии|żaden ekspert nie jest w stanie
их постоянно опровергать|na bieżąco ich obalać
я читал довольно много|czytałem całkiem sporo
и что меня исцелило|a co mnie uleczyło
это в основном страхи|to są w głownie lęki
в отличии от нас, они|w przeciwieństwie do nas, oni
мы могли бы говорить часами|potrafiliśmy gadać godzinami
и в один день|i któregoś dnia
между ними нет никакой разницы|nie ma między nimi żadnej różnicy
спорили часами на пролет|kłóciliśmy się godzinami
поэтому я скажу это за всех вас|więc powiem to za was wszystkich
и вообще этого следует избегать|i na ogół powinno się tego unikać
именно об этом и шла речь|no właśnie dokładnie o to chodziło
он несовместим с|nie jest kompatybilny z
сам об этом понятия не имею|sam nie mam o tym pojęcia
все имеет идеологическую окраску|wszystko ma zabarwienie ideologiczne
не так много интересных материалов|nie ma zbyt wiele interesujących materiałów
он хотел, чтобы оказалось, что он врет|chciał żeby wyszło, że on kłamie
чтобы оказалось, что это хорошо|żeby okazało się, że jest dobrze
игра в видимость|gra pozorów
ни при каких обстоятельствах|pod żadnym pozorem
но его действия гораздо хуже|ale jego czyny są o wiele gorsze
полностью осознают плюсы и минусы |mają pełną świadomość wad i zalet
меня озадачивает |mnie zastanawia
мне хватило одного недостающего элемента|mnie wystarczył jeden brakujący element
и я начал задаваться вопросом|i zacząłem się zastanawiać
как я мог иметь такой подход ко многим темам|jak w ogóle mogłem mieć takie podejście do wielu tematów
telling a lie, refuting a lie|powiedzenie kłamstwa, obalenie kłamstwa
я редко помню свои сны|rzadko pamiętam swoje sny
он прошел этот путь очень быстро|przeszedł tę ścieżkę bardzo szybko
wojna jest prawie nieunikniona|война почти незбежна
выступил намного лучше|wypadł znacznie lepiej
убеди самого себя|przekonaj się sam
любое выражение типа|dowolne wyrażenie typu
